affectionately,1
pleasant,1
hopeful,1
vinegar,1
camomile,1
stingy,1
forget,2
moral,6
squeezed,1
closer,1
keeping,2
uncomfortably,1
bore,1
minding,1
morals,1
temper,1
anxious,2
experiment,1
mustard,2
feather,1
flock,1
agree,2
attended,1
imagine,2
otherwise,2
appear,1
follow,1
present,1
cheap,1
birthday,1
dig,1
pigs,1
died,1
favourite,1
linked,1
hers,3
frowning,3
fair,1
guests,2
delay,1
cost,1
whom,1
sentenced,1
custody,2
turtle,33
company,1
unhappy,1
executions,2
gryphon,22
lazy,1
leaving,1
rubbed,1
watched,2
executes,1
ledge,1
sighing,2
heart,2
pitied,1
hollow,1
occasional,1
exclamation,1
heavy,2
sobbing,2
school,4
tortoise,1
sink,1
proud,2
learned,1
yours,1
afford,1
regular,2
inquired,1
branches,1
lifted,1
beautify,1
uglify,1
encouraged,1
counting,1
subjects,1
ancient,1
fainting,1
classics,1
laughing,1
hid,1
faces,2
lessen,1
eleventh,1
games,1
flapper,1
sobs,2
bone,1
punching,1
recovered,2
introduced,1
delightful,2
dance,2
form,1
line,1
cleared,1
advance,1
retire,1
bound,1
somersault,1
capering,1
lobsters,3
yelled,1
land,1
dropping,1
pretty,1
dancing,1
treading,2
toes,1
forepaws,1
mark,2
whiting,3
porpoise,1
eagerly,3
turtles,1
join,9
snail,1
thanked,1
scaly,1
further,1
england,1
beloved,1
song,1
dinn,1
tails,3
thrown,1
shrimp,1
thoughts,2
obliged,3
fish,2
anywhere,1
adventures,3
impatient,1
dreadful,1
mouths,1
gained,1
courage,1
listeners,1
part,1
baked,1
sugar,1
nose,1
trims,1
belt,1
turns,1
editions,2
follows,2
sands,1
gay,1
contemptuous,1
tones,2
tide,1
rises,1
sharks,1
tremulous,1
uncommon,1
owl,2
panther,3
sharing,1
share,1
pie,1
kindly,1
permitted,1
pocket,1
received,1
knife,1
fork,1
figure,1
accounting,1
rich,1
dainties,1
cares,2
p,1
ennyworth,1
pennyworth,1
trial,4
panted,1
faintly,1
breeze,1
hearts,1
seated,1
throne,1
standing,1
soldier,1
guard,1
trumpet,1
scroll,1
parchment,2
court,5
tarts,3
pass,1
justice,1
wore,1
frontispiece,1
twelve,2
rightly,1
jurors,3
writing,4
indignant,1
spectacles,1
spell,1
neighbour,1
muddle,1
pencil,1
quickly,2
juror,1
blew,2
blasts,2
summer,2
witness,4
teacup,3
sent,2
wrote,3
dates,1
reduced,1
shillings,1
memorandum,1
encourage,1
shifting,1
uneasily,1
remain,1
squeeze,1
reasonable,1
ridiculous,1
officers,3
list,2
singers,1
week,2
twinkling,3
twinkled,1
deny,2
denies,1
denied,1
remarked,1
miserable,2
suppressed,3
canvas,1
tied,1
attempts,1
understood,1
reading,2
officer,1
majesty,2
folding,1
shrieked,1
suppress,1
undertone,1
fumbled,1
shrill,3
flurry,1
tipped,1
upsetting,1
jurymen,2
sprawling,1
reminding,1
globe,1
goldfish,2
accidentally,1
accident,1
vague,1
cannot,1
lizard,2
unable,1
signifies,1
shock,1
slates,1
pencils,1
diligently,1
history,1
overcome,1
gazing,1
persisted,1
respectful,1
cackled,1
persons,1
mile,2
invented,1
oldest,1
prisoner,1
directed,2
queerest,1
imitated,1
prove,1
signed,2
sign,1
honest,1
clapping,1
clever,1
proves,1
verses,3
push,1
returned,2
involved,1
trusts,1
obstacle,1
atom,2
attempted,1
saves,1
spreading,1
clearer,1
inkstand,1
slate,1
trickling,1
consider,1
twentieth,1
rose,1
flying,1
fright,1
brushing,1
fluttered,1
kissed,1
wonderful,2
setting,1
dreaming,1
dreamed,1
clasped,1
toss,1
wandering,1
around,2
alive,1
grass,2
rustled,1
splashed,1
neighbouring,1
rattle,1
teacups,2
shared,1
plates,1
dishes,1
crashed,1
choking,1
believed,1
rustling,1
rippling,1
tinkling,1
cries,1
shepherd,1
sneeze,1
clamour,1
lowing,1
cattle,1
distance,1
pictured,1
riper,1
loving,1
gather,1
wonderland,1
remembering,1
happy,1
